Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BuildingNone TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:41:34,2018-06-27 13:44:18,2m - 43.339s,PASSED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingNone/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 13:41:38,2018-06-27 13:43:03,1m - 25.045s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:41:38,2018-06-27 13:42:22,44.247s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:42:23,2018-06-27 13:43:02,39.073s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:43:02,2018-06-27 13:43:03,1.029s,PASSED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:43:03,2018-06-27 13:44:18,1m - 14.760s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:43:03,2018-06-27 13:43:40,36.854s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:43:40,2018-06-27 13:44:17,36.837s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:44:17,2018-06-27 13:44:18,0.766s,PASSED
