Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Portfolios TestSuite,Chrome 67.0.3396.99,,2018-07-09 16:03:21,2018-07-09 16:25:22,22m - 1.634s,FAILED
,,,,,,
Test Cases/Buildings/MyPortfolios/LoginWithPortfolioTest,Chrome 67.0.3396.99,Verify if ability to login with portfolio & respective text for portfolio section.,2018-07-09 16:03:24,2018-07-09 16:04:09,44.553s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:03:24,2018-07-09 16:04:03,38.958s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:04:04,2018-07-09 16:04:08,4.270s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:04:08,2018-07-09 16:04:09,0.901s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/CreateNewPortfolioTest,Chrome 67.0.3396.99,Verify if ability to create new portfolio & checking the title on the landing page of the portfolio.,2018-07-09 16:04:09,2018-07-09 16:05:14,1m - 5.484s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:04:09,2018-07-09 16:04:43,33.997s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:04:43,2018-07-09 16:05:14,30.186s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:05:14,2018-07-09 16:05:14,0.881s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/SearchProgramPortfolioTest,Chrome 67.0.3396.99,"Verifying the search dropdown and verfiy the no of projects, if no project found it throws error.",2018-07-09 16:05:14,2018-07-09 16:06:05,50.524s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:05:14,2018-07-09 16:05:49,34.274s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:05:49,2018-07-09 16:06:04,14.812s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:06:04,2018-07-09 16:06:05,0.939s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/AddProjectInsidePortfolioTest,Chrome 67.0.3396.99,Verify if the portfolio have ability to add projects  & after adding each project we are verifying that add project success text on the model.,2018-07-09 16:06:05,2018-07-09 16:10:13,4m - 7.697s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:06:05,2018-07-09 16:06:40,34.662s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:06:40,2018-07-09 16:10:12,3m - 31.768s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:10:12,2018-07-09 16:10:13,0.780s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/ProjectDetailVerificationTest,Chrome 67.0.3396.99,"Verify if the calculation of total number of added projects displays the correct gross floor area, total occupancy , certification area , total number of project correctly in front end.",2018-07-09 16:10:13,2018-07-09 16:11:13,1m - 0.527s,PASSED
