Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCites TestSuite,Chrome 67.0.3396.99,,2018-06-27 09:42:44,2018-06-27 09:45:18,2m - 33.726s,FAILED
,,,,,,
Test Cases/MyCities/LEEDForCities/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 09:42:46,2018-06-27 09:43:57,1m - 10.432s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 09:42:46,2018-06-27 09:43:21,34.545s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 09:43:22,2018-06-27 09:43:56,34.404s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 09:43:56,2018-06-27 09:43:57,0.867s,PASSED
,,,,,,
Test Cases/MyCities/LEEDForCities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 09:43:57,2018-06-27 09:45:18,1m - 20.929s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 09:43:57,2018-06-27 09:44:29,32.637s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 09:44:30,2018-06-27 09:45:16,46.551s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 09:45:16,2018-06-27 09:45:16,0.067s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 09:45:16,2018-06-27 09:45:18,1.300s,PASSED
