Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCommunities TestSuite,Chrome 67.0.3396.99,,2018-06-27 14:23:06,2018-06-27 14:25:53,2m - 46.902s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-27 14:23:12,2018-06-27 14:24:40,1m - 27.584s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:23:12,2018-06-27 14:24:05,52.779s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:24:06,2018-06-27 14:24:39,33.421s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:24:39,2018-06-27 14:24:40,0.920s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 14:24:40,2018-06-27 14:25:53,1m - 13.026s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:24:40,2018-06-27 14:25:19,38.520s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:25:19,2018-06-27 14:25:52,33.103s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:25:52,2018-06-27 14:25:53,0.759s,PASSED
