Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCommunities TestSuite,Chrome 67.0.3396.87,,2018-06-19 16:14:06,2018-06-19 16:17:38,3m - 32.283s,FAILED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/LoginWithCommunitiesTest,Chrome 67.0.3396.87,Verifies login & navigate to communites & verify communites the text.,2018-06-19 16:14:07,2018-06-19 16:14:44,36.223s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.87,,2018-06-19 16:14:07,2018-06-19 16:14:42,34.332s,PASSED
Statement - Try,Chrome 67.0.3396.87,,2018-06-19 16:14:42,2018-06-19 16:14:44,1.602s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.87,,2018-06-19 16:14:44,2018-06-19 16:14:44,0.060s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.87,Verify ablility to register the new communities project.,2018-06-19 16:14:44,2018-06-19 16:15:53,1m - 9.049s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.87,,2018-06-19 16:14:44,2018-06-19 16:15:17,32.944s,PASSED
Statement - Try,Chrome 67.0.3396.87,,2018-06-19 16:15:17,2018-06-19 16:15:52,35.530s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-19 16:15:52,2018-06-19 16:15:52,0.050s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.87,,2018-06-19 16:15:52,2018-06-19 16:15:53,0.383s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/PaymentByCreditCardTest,Chrome 67.0.3396.87,,2018-06-19 16:15:53,2018-06-19 16:16:46,52.840s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.87,,2018-06-19 16:15:53,2018-06-19 16:16:43,50.324s,ERROR
Statement - Try,Chrome 67.0.3396.87,,2018-06-19 16:16:43,2018-06-19 16:16:43,0.024s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-19 16:16:43,2018-06-19 16:16:43,0.006s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.87,,2018-06-19 16:16:43,2018-06-19 16:16:46,2.093s,FAILED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/LogoutToArcTest,Chrome 67.0.3396.87,Verify the logout functionlity of Arc.,2018-06-19 16:16:46,2018-06-19 16:17:38,52.321s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.87,,2018-06-19 16:16:46,2018-06-19 16:17:36,50.057s,ERROR
Statement - Try,Chrome 67.0.3396.87,,2018-06-19 16:17:36,2018-06-19 16:17:36,0.047s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-19 16:17:36,2018-06-19 16:17:36,0.012s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.87,,2018-06-19 16:17:36,2018-06-19 16:17:38,2.060s,FAILED
